YOU  Y UW
CAMPUS  K AE M P AH S
CONCLUSION  K AH N K L UW ZH AH N
FILLING  F IH L IH NG
RASCAL  R AE S K AH L
CANDLE  K AE N D AH L
SUCKED  S AH K T
RETIRE  R IH T AY R
RETIRE(1)  R IY T AY R
RETIRE(2)  R IY T AY ER
ATTEMPTED  AH T EH M P T AH D
GENUINE  JH EH N Y UW AH N
GENUINE(1)  JH EH N Y UW AY N
ROSIE  R OW Z IY
PRINCIPLE  P R IH N S AH P AH L
BUTCHER  B UH CH ER
ITEMS  AY T AH M Z
SWEATER  S W EH T ER
RANK  R AE NG K
MADEMOISELLE  M AE D AH M AH Z EH L
STRICTLY  S T R IH K T L IY
COMPETE  K AH M P IY T
BOLD  B OW L D
PICNIC  P IH K N IH K
RECOVERY  R IH K AH V R IY
RECOVERY(1)  R IH K AH V ER IY
GATHERING  G AE DH ER IH NG
DISTURBED  D IH S T ER B D
RISKY  R IH S K IY
FORMAL  F AO R M AH L
SOMEWHAT  S AH M W AH T
SOMEWHAT(1)  S AH M HH W AH T
CRAWL  K R AO L
VILLA  V IH L AH
MEETS  M IY T S
FIXING  F IH K S IH NG
SWITCHED  S W IH CH T
BRAKES  B R EY K S
SLIGHT  S L AY T
BRANDY  B R AE N D IY
APPETITE  AE P AH T AY T
LESBIAN  L EH Z B IY AH N
SHEPHERD  SH EH P ER D
WANDERING  W AA N D ER IH NG
GIGGLING  G IH G AH L IH NG
GIGGLING(1)  G IH G L IH NG
ESTABLISHED  IH S T AE B L IH SH T
GENERATIONS  JH EH N ER EY SH AH N Z
PUBLISHED  P AH B L IH SH T
PERSPECTIVE  P ER S P EH K T IH V
ANYHOW  EH N IY HH AW
LOSERS  L UW Z ER Z
MUFFLED  M AH F AH L D
DEALS  D IY L Z
HOCKEY  HH AA K IY
CHASED  CH EY S T
NED  N EH D
CREEP  K R IY P
HARRISON  HH EH R IH S AH N
DISCIPLINE  D IH S AH P L AH N
LICK  L IH K
COAL  K OW L
MIRANDA  M ER AE N D AH
TOMB  T UW M
HUSH  HH AH SH
THRILLED  TH R IH L D
DUMMY  D AH M IY
SUGGESTION  S AH JH EH S CH AH N
ADDITION  AH D IH SH AH N
THERAPIST  TH EH R AH P IH S T
RANGER  R EY N JH ER
STELLA  S T EH L AH
BLOCKED  B L AA K T
NICKY  N IH K IY
TRUCKS  T R AH K S
DIRECTIONS  D ER EH K SH AH N Z
DIRECTIONS(1)  D IY R EH K SH IH N Z
DIRECTIONS(2)  D AY R EH K SH IH N Z
DIRECTIONS(3)  D IH R EH K SH IH N Z
PAROLE  P ER OW L
CAFE  K AH F EY
CAFE(1)  K AE F EY
WIZARD  W IH Z ER D
FORTUNATELY  F AO R CH AH N AH T L IY
FORTUNATELY(1)  F AO R CH UW N AH T L IY
CONSCIOUSNESS  K AA N SH AH S N AH S
VANISHED  V AE N IH SH T
CEILING  S IY L IH NG
INSTITUTE  IH N S T IH T UW T
FREDDY  F R EH D IY
SECTOR  S EH K T ER
